m/n,solutions,,,
0.3828125,0,,,
0.3828125,0,,,
0.390625,0,,,
0.390625,0,,,
0.390625,0,,,
0.390625,0,,,
0.390625,0,,,
0.3984375,0,,,
0.3984375,0,,,
0.3984375,0,,,
0.3984375,0,,,
0.3984375,0,,,
0.39453125,0,,,
0.39453125,3,,,
0.39453125,0,,,
0.39453125,1,,,
0.39453125,0,,,
0.40234375,4,,,
0.40234375,2,,,
0.40234375,2,,,
0.40234375,0,,,
0.40234375,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.40625,0,,,
0.40625,1,,,
0.40625,0,,,
0.40625,1,,,
0.40625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.42578125,0,,,
0.42578125,0,,,
0.42578125,0,,,
0.42578125,0,,,
0.42578125,0,,,
0.41796875,0,,,
0.41796875,0,,,
0.41796875,0,,,
0.41796875,0,,,
0.41796875,0,,,
0.4296875,0,,,
0.4296875,1,,,
0.4296875,0,,,
0.4296875,0,,,
0.4296875,0,,,
0.4296875,0,,,
0.4296875,0,,,
0.4296875,0,,,
0.4296875,0,,,
0.4296875,0,,,
0.4296875,0,,,
0.4296875,0,,,
0.4296875,0,,,
0.4296875,0,,,
0.4296875,0,,,
0.4453125,0,,,
0.4453125,0,,,
0.4453125,0,,,
0.4453125,0,,,
0.4453125,0,,,
0.44140625,2,,,
0.44140625,0,,,
0.44140625,0,,,
0.44140625,0,,,
0.44140625,1,,,
0.4453125,0,,,
0.4453125,0,,,
0.4453125,1,,,
0.4453125,0,,,
0.4453125,0,,,
0.4453125,0,,,
0.4453125,0,,,
0.4453125,0,,,
0.4453125,0,,,
0.4453125,0,,,
0.45703125,0,,,
0.45703125,0,,,
0.45703125,0,,,
0.45703125,0,,,
0.45703125,0,,,
0.453125,0,,,
0.453125,1,,,
0.453125,0,,,
0.453125,0,,,
0.453125,0,,,
0.46484375,0,,,
0.46484375,0,,,
0.46484375,0,,,
0.46484375,0,,,
0.46484375,0,,,
0.47265625,0,,,
0.47265625,0,,,
0.47265625,0,,,
0.47265625,0,,,
0.47265625,0,,,
0.46484375,0,,,
0.46484375,0,,,
0.46484375,1,,,
0.46484375,0,,,
0.46484375,0,,,
0.46875,0,,,
0.46875,0,,,
0.46875,0,,,
0.46875,0,,,
0.46875,0,,,
0.48828125,0,,,
0.48828125,0,,,
0.48828125,0,,,
0.48828125,0,,,
0.48828125,0,,,
0.48046875,0,,,
0.48046875,0,,,
0.48046875,0,,,
0.48046875,0,,,
0.48046875,0,,,
0.484375,0,,,
0.484375,0,,,
0.484375,0,,,
0.484375,0,,,
0.484375,0,,,
0.484375,0,,,
0.484375,0,,,
0.484375,0,,,
0.484375,0,,,
0.484375,0,,,
0.4921875,2,,,
0.4921875,0,,,
0.4921875,0,,,
0.4921875,0,,,
0.4921875,0,,,
0.4921875,0,,,
0.4921875,0,,,
0.4921875,0,,,
0.4921875,0,,,
0.4921875,0,,,
0.5,0,,,
0.5,0,,,
0.5,0,,,
0.5,0,,,
0.5,0,,,
0.5078125,0,,,
0.5078125,0,,,
0.5078125,0,,,
0.5078125,0,,,
0.5078125,0,,,
0.51171875,0,,,
0.51171875,1,,,
0.51171875,0,,,
0.51171875,0,,,
0.51171875,0,,,
0.5234375,0,,,
0.5234375,0,,,
0.5234375,0,,,
0.5234375,0,,,
0.5234375,0,,,
0.51953125,0,,,
0.51953125,0,,,
0.51953125,0,,,
0.51953125,0,,,
0.51953125,0,,,
0.515625,0,,,
0.515625,0,,,
0.515625,0,,,
0.515625,0,,,
0.515625,0,,,
0.52734375,0,,,
0.52734375,0,,,
0.52734375,0,,,
0.52734375,0,,,
0.52734375,0,,,
0.52734375,0,,,
0.52734375,0,,,
0.52734375,0,,,
0.52734375,0,,,
0.52734375,0,,,
0.53515625,0,,,
0.53515625,0,,,
0.53515625,0,,,
0.53515625,0,,,
0.53515625,0,,,
0.53515625,0,,,
0.53515625,0,,,
0.53515625,0,,,
0.53515625,0,,,
0.53515625,0,,,
0.53125,0,,,
0.53125,0,,,
0.53125,0,,,
0.53125,0,,,
0.53125,0,,,
0.546875,0,,,
0.546875,0,,,
0.546875,0,,,
0.546875,0,,,
0.546875,0,,,
0.54296875,0,,,
0.54296875,0,,,
0.54296875,0,,,
0.54296875,0,,,
0.54296875,0,,,
0.55859375,0,,,
0.55859375,0,,,
0.55859375,0,,,
0.55859375,0,,,
0.55859375,0,,,
0.55078125,0,,,
0.55078125,0,,,
0.55078125,0,,,
0.55078125,0,,,
0.55078125,0,,,
0.5625,0,,,
0.5625,0,,,
0.5625,0,,,
0.5625,0,,,
0.5625,0,,,
0.5625,0,,,
0.5625,0,,,
